,STotalM2,SConstrM2,precio_pesos_constantes
95844,700,60,2007.18653871195
95866,700,700,246013.735259342
96008,740,489,210411.252025238
96176,445,300,306382.09913859
96236,436,418,131150.127604688
96373,540,290,301357.252689511
96403,456,330,230794.089367595
96461,780,600,629438.425547985
96606,516,116,80832.3400995436
96636,460,460,270641.298700592
96673,680,680,364873.958354373
96720,1000,1000,7213.2799623326
96856,1111,111,8927.78644383837
96915,406,390,675425.981607879
97053,420,420,317616.716065459
97542,430,280,281564.73595864
97545,420,420,385957.703775931
97720,800,150,32351.5606307117
97760,1140,116,44541.2594151284
97841,677,568,230045.103895503
97862,460,450,127705.88542403
97947,600,600,1749.42356486249
97956,1000,500,44132.0104335336
98040,740,489,171942.176039748
98280,1111,111,6722.45161953476
98899,418,230,105813.447922768
99168,48000,45,6718.84459666606
99580,457,385,147519.536925878
99628,43000,45,7623.79538909213
99725,900,850,65504.5126207221
99763,457,385,235980.006716151
100169,10000,50,5678.94194997908
100263,440,440,105092.800418714
100379,430,280,282913.190348402
100791,600,600,249133.172069558
100911,585,37,4169.26703383861
101086,442,330,169150.81168787
101215,605,377,216753.598262063
101273,404,400,350150.970444103
101706,575,575,477622.658422714
101985,1000,40,7002.17565355967
102125,1111,1111,5972.59580874677
102183,1111,1111,5065.65944660455
102345,436,436,353525.291229906
102359,1000,1000,12662.6543233573
102477,520,520,110009.585964623
102547,401,326,134114.897311003
102650,1000,40,3363.43914224653
102995,406,390,618669.259652335
103028,800,150,25218.2916763049
103158,1000,40,6011.06663527717
103167,490,390,173402.87860965
103821,35000,35,3924.01233262095
103878,718,487,349733.673612501
103946,1000,250,45157.8629038879
104042,30000,40,2029809.74025444
104256,450,450,162384.779220355
104597,611,335,310142.864601217
104691,442,330,276936.047098285
104880,457,457,147519.536925878
104932,500,50,9723.11691121249
105076,750,550,549915.864952308
105579,3496,28,10446.6898167698
105852,422,422,172204.144394007
105966,478,445,804470.674167544
106033,800,50,3833.14394117588
106433,520,300,40089.106094602
106494,2783,2783,3641.13133985103
106505,422,422,178165.037660514
106591,597,597,358547.688309388
107052,30000,40,2517753.70219194
107061,406,406,154877.686569196
107063,445,300,281564.73595864
107518,418,169,140782.36797932
107719,575,575,398256.90832079
107984,669,618,365933.806837264
108004,550,550,104906.404257998
108061,1111,45,4992.95192737939
108212,603,377,222706.297075642
108347,3500,66,4481.39241827819
108452,669,618,376131.52452519
108526,559,482,252493.502430286
108541,422,422,173402.87860965
108572,650,650,189520.886193436
108672,440,405,429054.55766573
108798,500,280,140246.342158774
108806,500,80,5612.47485324428
109134,416,405,177003.070364795
109144,450,150,42603.562468456
109187,550,550,206244.620821726
109394,591,423,182436.979177186
109415,440,405,343884.352079496
109507,1111,111,4473.80051357077
